	C1	C2	C3	C4	C5	cluster	confidence
DLBCL_MC_F500_ECU	0.0034961102427786667	0.9618206744554185	0.0047185637601550225	0.002968739581803397	0.026995911959844396	2	0.9618206744554185
DLBCL10906	0.000433438629737334	0.9535154648975117	0.0008495722023271448	0.00022876533049437554	0.04497275893992953	2	0.9535154648975117
DLBCL_C_D_PAIR22	0.0006467975880004152	0.9531567729067612	0.030182504685806615	0.014677703988842284	0.0013362208305894789	2	0.9531567729067612
DLBCL_C_D_1118_NULLPAIR	0.04301805676711333	0.9515177933123301	0.002087655025024653	0.0018677115365194345	0.0015087833590123494	2	0.9515177933123301
DLBCL_RICOVER_763	0.00040284362726899055	0.948570140002765	0.0007415237899022439	0.0002879212549834728	0.049997571325080314	2	0.948570140002765
DLBCL_C_D_1138_NULLPAIR	0.0009261676038173574	0.9469264121441477	0.011616041212781416	0.016613308479733215	0.023918070559520162	2	0.9469264121441477
DLBCL_RICOVER_583	0.0005336591850395546	0.9377966758116363	0.0018976429578016105	0.0002815977840912174	0.05949042426143111	2	0.9377966758116363
DLBCL_C_D_1158_NULLPAIR	0.058918975222583554	0.9289083223902376	0.0007779970177887519	0.009923482331700675	0.0014712230376895236	2	0.9289083223902376
DLBCL10780	0.00011036109693095051	0.9272497220132269	0.06702019252953241	0.004342988946108894	0.0012767354142010142	2	0.9272497220132269
DLBCL_DFCI_DLBCL_GOE05	0.0005279766861671425	0.9209467213496526	0.0008785858624158556	0.00030840265507431114	0.07733831344668993	2	0.9209467213496526
DLBCL_RICOVER_467	0.0005408630680159674	0.9093891455067253	0.000861321329830445	0.00027695552549437177	0.08893171456993386	2	0.9093891455067253
DLBCL_C_D_PAIR9	0.0016470713923206583	0.9085084530963923	0.002976524892104224	0.08539504859885204	0.0014729020203306698	2	0.9085084530963923
DLBCL_LS1546	0.0005256384080048265	0.9006471337948839	0.0008463937325267901	0.0003862807818359225	0.09759455328274859	2	0.9006471337948839
DLBCL_MC_F990_MNA	0.0003173776236497913	0.8794246636117953	0.0007155415753896723	0.000949645634059007	0.1185927715551063	2	0.8794246636117953
DLBCL_MC_F496DMP	0.11090819212837233	0.87490348270046	0.004454206312221965	0.00814213504165571	0.001591983817289976	2	0.87490348270046
